portfolio,variant,dec_return,dec_return_pct,start_nav,end_nav,trading_days
TW30_EqualWeight,raw,0.0059848161882520845,0.5985%,98.869,100.5985,4
TW30_EqualWeight,conservative,0.007570119701734601,0.7570%,99.2203,99.6174,2
TW30_EqualWeight,trend_regime_v2,0.01498815232741002,1.4988%,99.5634,100.3509,2
30er_EqualWeight,raw,-0.010253923186410718,-1.0254%,98.464,98.9746,4
30er_EqualWeight,conservative,0.009567331276566282,0.9567%,98.4933,99.4061,2
30er_EqualWeight,trend_regime_v2,0.018913083289323396,1.8913%,98.5218,100.3262,2
SA Large Caps_EqualWeight,raw,-0.020150894873301795,-2.0151%,122.0471,120.3727,4
SA Large Caps_EqualWeight,conservative,-0.013636806833545512,-1.3637%,108.5466,107.5052,4
SA Large Caps_EqualWeight,trend_regime_v2,-0.020150894873301795,-2.0151%,115.0479,113.4696,4
TR10_EqualWeight,raw,-0.0006943782766796192,-0.0694%,98.4901,99.9306,4
TR10_EqualWeight,conservative,0.005617176212583397,0.5617%,98.2934,99.0434,2
TR10_EqualWeight,trend_regime_v2,0.011071735041210395,1.1072%,98.1013,99.5805,2
TR10 Large Caps X_EqualWeight,raw,-0.003908029632665122,-0.3908%,97.8278,99.6092,4
TR10 Large Caps X_EqualWeight,conservative,0.00013971502790410817,0.0140%,97.542,97.8415,2
TR10 Large Caps X_EqualWeight,trend_regime_v2,0.00025880681430656693,0.0259%,97.2629,97.8531,2
SA Mid Caps_EqualWeight,raw,-0.02018210555958666,-2.0182%,103.6418,103.9741,4
SA Mid Caps_EqualWeight,conservative,0.009308660205703312,0.9309%,99.9269,100.6781,2
SA Mid Caps_EqualWeight,trend_regime_v2,0.018422351653534896,1.8422%,100.1,101.5871,2
SPY_EqualWeight,raw,0.0014632931333593557,0.1463%,258.4503,260.0156,4
SPY_EqualWeight,conservative,0.00019546873760734051,0.0195%,195.3217,195.9199,4
SPY_EqualWeight,trend_regime_v2,0.0014632931333593557,0.1463%,279.7944,281.4889,4
50er_EqualWeight,raw,-0.009113006723617256,-0.9113%,98.586,99.0887,4
50er_EqualWeight,conservative,0.006820805831983856,0.6821%,98.5511,99.2584,2
50er_EqualWeight,trend_regime_v2,0.01347494959540052,1.3475%,98.517,99.9144,2
TR10 Large & TW30_EqualWeight,raw,0.007717994500000103,0.7718%,100.7718,100.7718,1
TR10 Large & TW30_EqualWeight,conservative,0.0039053051999999866,0.3905%,100.3905,100.3905,1
TR10 Large & TW30_EqualWeight,trend_regime_v2,0.007717994500000103,0.7718%,100.7718,100.7718,1
SA Large & TR10 Large & TW30_EqualWeight,raw,0.010992127900000037,1.0992%,101.0992,101.0992,1
SA Large & TR10 Large & TW30_EqualWeight,conservative,0.005562016699999894,0.5562%,100.5562,100.5562,1
SA Large & TR10 Large & TW30_EqualWeight,trend_regime_v2,0.010992127900000037,1.0992%,101.0992,101.0992,1
