,Monthly PnL (Portfolio Value Diff),Monthly PnL (Market-based),Monthly PnL (Summe Tages-PnL),Rebalancing Impact
2020-06-30,0.0,0.0,,0.0
2020-07-31,6592.40723930893,4755.318810021976,4755.318810021976,1837.0884292869541
2020-08-31,9773.802167262591,9864.956465550096,9864.956465550094,-91.1542982875053
2020-09-30,-1557.124693891019,-1923.3619559388476,-1923.3619559388494,366.2372620478286
2020-10-31,-901.7688484682149,-969.2074333622732,-969.2074333622713,67.4385848940583
2020-11-30,17167.698736159946,16473.702302494472,16473.702302494476,693.9964336654739
2020-12-31,10178.26634736787,12547.986006025172,12547.986006025172,-2369.7196586573027
2021-01-31,4608.8719599862525,6405.8931148284655,6405.893114828464,-1797.021154842213
2021-02-28,11117.132947171689,15957.81932683403,15957.819326834027,-4840.68637966234
2021-03-31,-5398.7928889034665,-4163.910543259536,-4163.910543259534,-1234.8823456439304
2021-04-30,3229.6208352735266,6441.641541886577,6441.641541886579,-3212.0207066130506
2021-05-31,1625.29898424368,6254.223006347592,6254.223006347591,-4628.924022103912
2021-06-30,2962.7681657727517,6588.996543184612,6588.996543184612,-3626.2283774118605
2021-07-31,2152.5167867415585,8884.578051626953,8884.578051626951,-6732.061264885395
2021-08-31,7001.9331757315085,10343.607445897818,10343.607445897816,-3341.6742701663097
2021-09-30,-8464.801745815465,-4929.349122757282,-4929.349122757283,-3535.4526230581823
2021-10-31,11500.558914745896,11259.43560521176,11259.43560521176,241.12330953413584
2021-11-30,-9903.210861700034,-5013.3425543911435,-5013.3425543911435,-4889.8683073088905
2021-12-31,2221.7301981916535,2339.327631587669,2339.327631587669,-117.59743339601573
2022-01-31,-18647.393057383364,-17910.760991383384,-17910.760991383384,-736.6320659999801
2022-02-28,-4553.205956969614,-4272.6121390177195,-4272.61213901772,-280.5938179518944
2022-03-31,1617.811475637136,879.4734471497322,879.473447149732,738.3380284874038
2022-04-30,-8191.468736161041,-8870.105287663875,-8870.105287663875,678.6365515028338
2022-05-31,-4212.8147441932815,-9290.84611181871,-9290.846111818712,5078.031367625428
2022-06-30,-11917.638089295491,-10328.984264427909,-10328.984264427909,-1588.6538248675824
2022-07-31,6708.278815455022,4776.177654181765,4776.177654181764,1932.1011612732564
2022-08-31,-1104.9018070412276,-5977.469194721006,-5977.469194721005,4872.567387679778
2022-09-30,-11343.074316275102,-18760.427307223825,-18760.427307223825,7417.352990948722
2022-10-31,8879.197870964272,6920.133808182063,6920.133808182065,1959.0640627822086
2022-11-30,7124.812786341208,6930.1516396511015,6930.151639651102,194.66114669010676
2022-12-31,-5673.81983330693,-4484.7018439450285,-4484.701843945029,-1189.117989361902
2023-01-31,11084.473034971961,10293.369951360917,10293.369951360917,791.103083611044
2023-02-28,1640.1584813514783,6087.1311040364635,6087.131104036464,-4446.972622684985
2023-03-31,2019.4264733708987,5554.8554733536075,5554.855473353607,-3535.428999982709
2023-04-30,770.319299074501,-21957.39392130161,-21957.393921301602,22727.71322037611
2023-05-31,232.2040728723514,4489.611352877037,4489.611352877037,-4257.407280004685
2023-06-30,12275.335000491265,18510.167586388205,18510.167586388205,-6234.83258589694
2023-07-31,7199.329138156085,783.9383040641708,783.9383040641699,6415.390834091914
2023-08-31,2085.5482587201986,3809.334896312893,3809.3348963128933,-1723.7866375926942
2023-09-30,-6206.201586696639,-675.1060123891257,-675.1060123891257,-5531.095574307514
2023-10-31,-834.0636808240088,3532.4630434649807,3532.463043464981,-4366.5267242889895
2023-11-30,17031.82094021098,17522.355623077627,17522.355623077627,-490.5346828666479
2023-12-31,12582.208765208255,18989.02231386945,18989.02231386945,-6406.813548661194
2024-01-31,6074.819227302331,8554.502407262427,8554.502407262427,-2479.683179960097
2024-02-29,22773.326842528477,31874.541421020484,31874.54142102048,-9101.214578492007
2024-03-31,17526.618060706154,31407.666819431448,31407.666819431444,-13881.048758725294
2024-04-30,-4595.874046735844,4122.995187483067,4122.9951874830695,-8718.86923421891
2024-05-31,18035.759979973314,20896.41975317683,20896.41975317683,-2860.659773203515
2024-06-30,-4417.183017185744,7092.965361157353,7092.965361157352,-11510.148378343096
2024-07-31,532.3579341543082,12009.982817678278,12009.982817678278,-11477.62488352397
2024-08-31,11804.962999295298,17972.812589267163,17972.812589267163,-6167.8495899718655
2024-09-30,21213.77953384255,27547.480341122297,27547.480341122297,-6333.700807279747
2024-10-31,16762.28244572063,25304.312423197887,25304.312423197887,-8542.029977477257
2024-11-30,55416.32757082413,65894.30478836472,65894.30478836472,-10477.977217540596
2024-12-31,-19688.24098430801,-7043.5840939185255,-7043.584093918525,-12644.656890389484
2025-01-31,32035.069971858,43552.825548341614,43552.82554834162,-11517.755576483614
2025-02-28,-8605.153123912693,511.59424486459193,511.59424486459193,-9116.747368777284
2025-03-31,-33421.837167859776,-5869.984475207294,-5869.984475207305,-27551.852692652483
2025-04-30,14269.39566702483,38248.31496279641,38248.31496279641,-23978.91929577158
2025-05-31,31310.688001483388,45106.3576375393,45106.3576375393,-13795.669636055914
2025-06-30,8368.91499298677,17392.03233982574,17392.032339825735,-9023.117346838968
